Ciudad,Usuarios,Usuarios nuevos,Sesiones con interacción,Porcentaje de interacciones,Sesiones con interacción por usuario,Tiempo de interacción medio,Número de eventos,Conversiones,Total de ingresos
Guadalajara,22,21,15,0.6,6.818.181.818.181.810,167.5,354,53,0
Benidorm,21,18,33,7.857.142.857.142.850,15.714.285.714.285.700,11.041.904.761.904.700,1038,23,0
Bogota,21,21,18,782.608.695.652.174,8.571.428.571.428.570,9.695.238.095.238.090,168,21,0
Logrono,21,21,14,5.833.333.333.333.330,6.666.666.666.666.660,7.452.380.952.380.950,207,28,0
Motril,21,21,13,5.652.173.913.043.470,6.190.476.190.476.190,30.333.333.333.333.300,135,20,0
Torrent,21,18,17,6.538.461.538.461.530,8.095.238.095.238.090,8.276.190.476.190.470,259,39,0
Mataro,20,19,14,6.086.956.521.739.130,0.7,41.25,169,28,0
Badajoz,19,16,21,5.675.675.675.675.670,1.105.263.157.894.730,191,428,32,0
Vilanova i la Geltru,19,19,13,5.652.173.913.043.470,6.842.105.263.157.890,9.321.052.631.578.940,224,34,0
Girona,18,15,9,375,0.5,10.494.444.444.444.400,286,28,0
Huelva,18,16,12,5.217.391.304.347.820,6.666.666.666.666.660,20.166.666.666.666.600,121,13,0
London,18,17,14,5.185.185.185.185.180,7.777.777.777.777.770,6.627.777.777.777.770,172,8,0
Tres Cantos,18,15,17,6.538.461.538.461.530,9.444.444.444.444.440,24.516.666.666.666.600,319,39,0
Cadiz,17,15,10,4.166.666.666.666.660,5.882.352.941.176.470,4.276.470.588.235.290,182,26,0
Elda,17,16,12,6.666.666.666.666.660,7.058.823.529.411.760,5.264.705.882.352.940,150,16,0
Lugo,17,17,10,5.882.352.941.176.470,5.882.352.941.176.470,20.647.058.823.529.400,100,12,0
New York,17,16,3,16.666.666.666.666.600,17.647.058.823.529.400,11.294.117.647.058.800,102,6,0
Pontevedra,17,17,11,6.111.111.111.111.110,6.470.588.235.294.110,673.529.411.764.706,232,38,0
Caceres‎,16,14,17,0.85,1.0625,434.125,403,25,0
Lleida,16,14,42,8.936.170.212.765.950,2.625,431.875,284,100,0
Palencia,16,14,9,42.857.142.857.142.800,5.625,675.625,156,27,0
Port de Sagunt,16,15,13,7.222.222.222.222.220,8.125,175,371,39,0
Rivas-Vaciamadrid,16,15,20,7.407.407.407.407.400,1.25,4.258.125,630,53,0
Buenos Aires,15,14,10,5.555.555.555.555.550,6.666.666.666.666.660,21.666.666.666.666.600,74,2,0
Granollers,15,14,19,0.76,12.666.666.666.666.600,117.6,265,52,0
La Canyada,15,15,12,7.058.823.529.411.760,0.8,10.026.666.666.666.600,160,24,0
Langreo,15,15,10,5.882.352.941.176.470,6.666.666.666.666.660,36,135,18,0
Mexico City,15,15,8,47.058.823.529.411.700,5.333.333.333.333.330,29.666.666.666.666.600,112,5,0
Mollet del Valles,15,14,12,0.75,0.8,24.286.666.666.666.600,396,33,0
Ponferrada,15,13,10,625,6.666.666.666.666.660,9.286.666.666.666.660,222,50,0
Torrevieja,15,13,14,7.368.421.052.631.570,9.333.333.333.333.330,8.353.333.333.333.330,142,9,0
Algeciras,14,14,8,4.444.444.444.444.440,5.714.285.714.285.710,23.714.285.714.285.700,93,6,0
Lorca,14,13,7,3.684.210.526.315.780,0.5,44.857.142.857.142.800,142,24,0
Reus,14,13,10,625,7.142.857.142.857.140,11.635.714.285.714.200,88,9,0
Segovia,14,12,13,8.666.666.666.666.660,9.285.714.285.714.280,12.042.857.142.857.100,245,37,0
Alzira,13,12,7,0.5,5.384.615.384.615.380,6.192.307.692.307.690,136,19,0
Arrecife,13,13,3,0.2,23.076.923.076.923.000,12.153.846.153.846.100,65,3,0
Ashburn,13,13,5,38.461.538.461.538.400,38.461.538.461.538.400,1,48,3,0
Chiclana de la Frontera,13,11,28,0.7,21.538.461.538.461.500,2.633.076.923.076.920,475,47,0
Medellin,13,10,10,7.142.857.142.857.140,7.692.307.692.307.690,5.138.461.538.461.530,84,11,0
Molins de Rei,13,11,9,0.5,6.923.076.923.076.920,8.161.538.461.538.460,211,25,0
Vilafranca del Penedes,13,12,12,0.8,9.230.769.230.769.230,20.723.076.923.076.900,247,42,0
Arganda del Rey,12,9,21,0.75,1.75,3.390.833.333.333.330,257,39,0
Colmenar Viejo,12,11,11,6.875,9.166.666.666.666.660,21.708.333.333.333.300,310,46,0
El Puerto de Santa Maria,12,12,10,7.142.857.142.857.140,8.333.333.333.333.330,10.408.333.333.333.300,168,37,0
Frankfurt,12,12,6,46.153.846.153.846.100,0.5,54,87,15,0
Paris,12,11,7,5.384.615.384.615.380,5.833.333.333.333.330,44.5,103,9,0
San Sebastian de los Reyes,12,12,14,5.833.333.333.333.330,11.666.666.666.666.600,20.266.666.666.666.600,298,33,0
Torrelavega,12,12,9,6.923.076.923.076.920,0.75,11.716.666.666.666.600,148,29,0
Vecindario,12,12,7,5.384.615.384.615.380,5.833.333.333.333.330,6.666.666.666.666.660,112,14,0
Alcantarilla,11,10,8,4.444.444.444.444.440,7.272.727.272.727.270,24.336.363.636.363.600,362,74,0
Ciudad Real,11,10,5,3.333.333.333.333.330,45.454.545.454.545.400,6.136.363.636.363.630,82,10,0
Ibiza,11,10,15,625,13.636.363.636.363.600,3.498.181.818.181.810,413,26,0
Merida,11,11,8,7.272.727.272.727.270,7.272.727.272.727.270,45,126,30,0
Molina de Segura,11,10,10,7.692.307.692.307.690,9.090.909.090.909.090,7.645.454.545.454.540,145,20,0
Navalcarnero,11,11,7,5.833.333.333.333.330,6.363.636.363.636.360,10.554.545.454.545.400,94,15,0
Parla,11,8,15,5.357.142.857.142.850,13.636.363.636.363.600,26.572.727.272.727.200,294,7,0
Salou,11,9,12,0.4,10.909.090.909.090.900,45.554.545.454.545.400,380,33,0
San Cristobal de La Laguna,11,11,4,3.076.923.076.923.070,36.363.636.363.636.300,21.545.454.545.454.500,54,6,0
Torre del Mar,11,9,10,7.692.307.692.307.690,9.090.909.090.909.090,689.090.909.090.909,129,14,0
Ubeda,11,10,5,18.518.518.518.518.500,45.454.545.454.545.400,3.009.090.909.090.900,101,10,0
Aviles,10,10,7,0.7,0.7,71.6,106,17,0
Cuenca,10,9,7,5.833.333.333.333.330,0.7,104.8,142,10,0
El Prat de Llobregat,10,7,5,0.5,0.5,18.5,50,10,0
Gandia,10,7,28,7.567.567.567.567.560,2.8,319.3,306,9,0
Puertollano,10,10,5,45.454.545.454.545.400,0.5,100.1,111,12,0
Santiago,10,10,6,42.857.142.857.142.800,0.6,68.6,90,11,0
la Vall d'Uixo,10,9,9,0.9,0.9,148.9,215,45,0
Altoona,9,9,1,1.111.111.111.111.110,1.111.111.111.111.110,7.777.777.777.777.770,33,0,0
Aranda de Duero,9,9,8,6.666.666.666.666.660,8.888.888.888.888.880,56,121,29,0
Avila‎,9,8,11,6.470.588.235.294.110,12.222.222.222.222.200,4.026.666.666.666.660,305,24,0
Basauri,9,9,7,0.7,7.777.777.777.777.770,29.555.555.555.555.500,57,7,0
El Ejido,9,9,7,7.777.777.777.777.770,7.777.777.777.777.770,48.888.888.888.888.800,69,9,0
Humanes de Madrid,9,6,4,0.4,4.444.444.444.444.440,9.566.666.666.666.660,59,5,0
Melilla,9,9,3,3.333.333.333.333.330,3.333.333.333.333.330,13.555.555.555.555.500,62,14,0
Pinto,9,8,9,8.181.818.181.818.180,1,13.855.555.555.555.500,130,16,0
Prineville,9,8,2,2.222.222.222.222.220,2.222.222.222.222.220,1,31,0,0
Quito,9,9,6,5.454.545.454.545.450,6.666.666.666.666.660,3.088.888.888.888.880,47,2,0
Villaviciosa de Odon,9,8,11,7.857.142.857.142.850,12.222.222.222.222.200,17.355.555.555.555.500,167,12,0
Aranjuez,8,6,8,7.272.727.272.727.270,1,37,102,6,0
Columbus,8,8,2,0.25,0.25,0,26,2,0
Irun,8,8,4,36.363.636.363.636.300,0.5,10.25,41,2,0
Las Arenas,8,8,4,36.363.636.363.636.300,0.5,54.125,91,12,0
Linares,8,7,4,0.5,0.5,21.375,47,8,0
Milan,8,6,6,5.454.545.454.545.450,0.75,214.5,292,68,0
Ronda,8,8,4,4.444.444.444.444.440,0.5,20.75,57,10,0
San Fernando,8,8,8,0.8,1,151.375,146,16,0
Sant Cugat del Valles,8,7,14,6.086.956.521.739.130,1.75,589.375,687,92,0
Soria,8,7,5,38.461.538.461.538.400,625,83.625,93,21,0
Villafranca del Castillo,8,7,5,625,625,63.5,82,16,0
Villanueva de la Canada,8,8,6,6.666.666.666.666.660,0.75,112.75,116,18,0
Villarrobledo,8,4,17,8.947.368.421.052.630,2.125,598.5,726,154,0
Igualada,7,7,6,8.571.428.571.428.570,8.571.428.571.428.570,8.214.285.714.285.710,59,9,0
Lebrija,7,6,5,625,7.142.857.142.857.140,10.742.857.142.857.100,118,22,0
Los Palacios y Villafranca,7,7,14,875,2,9.567.142.857.142.850,387,35,0
Lulea,7,7,0,0,0,0,25,0,0
Orihuela,7,7,4,5.714.285.714.285.710,5.714.285.714.285.710,51,59,10,0
Paracuellos de Jarama,7,6,1,125,14.285.714.285.714.200,12.285.714.285.714.200,27,0,0
Puerto Marino,7,6,5,45.454.545.454.545.400,7.142.857.142.857.140,254,222,50,0
Rubi,7,6,5,38.461.538.461.538.400,7.142.857.142.857.140,39,51,4,0
San Jose,7,7,3,375,42.857.142.857.142.800,20.857.142.857.142.800,36,2,0
San Martin de la Vega,7,5,8,0.8,11.428.571.428.571.400,15.628.571.428.571.400,115,15,0
Sueca,7,7,5,625,7.142.857.142.857.140,12.342.857.142.857.100,83,9,0
Zamora,7,7,6,8.571.428.571.428.570,8.571.428.571.428.570,23.857.142.857.142.800,57,8,0
Amsterdam,6,6,5,8.333.333.333.333.330,8.333.333.333.333.330,92.5,56,6,0
Azuqueca de Henares,6,6,4,5.714.285.714.285.710,6.666.666.666.666.660,386.5,225,41,0
Durango,6,6,6,8.571.428.571.428.570,1,42.833.333.333.333.300,70,11,0
El Viso del Alcor,6,6,4,0.5,6.666.666.666.666.660,49.333.333.333.333.300,45,6,0
Huesca,6,6,5,625,8.333.333.333.333.330,5.126.666.666.666.660,187,12,0
Montevideo,6,6,2,2.857.142.857.142.850,3.333.333.333.333.330,14.333.333.333.333.300,23,0,0
Montreal,6,6,2,3.333.333.333.333.330,3.333.333.333.333.330,9.333.333.333.333.330,21,0,0
Puerto Real,6,5,11,7.333.333.333.333.330,18.333.333.333.333.300,9.626.666.666.666.660,356,23,0
Sant Pere de Ribes,6,6,3,0.5,0.5,13.633.333.333.333.300,61,10,0
Teruel,6,6,4,6.666.666.666.666.660,6.666.666.666.666.660,3.026.666.666.666.660,163,10,0
Tudela,6,6,2,3.333.333.333.333.330,3.333.333.333.333.330,25.666.666.666.666.600,35,6,0
Alcala de Guadaira,5,5,2,2.857.142.857.142.850,0.4,61.4,47,8,0
Alcoi,5,5,2,3.333.333.333.333.330,0.4,43.2,28,2,0
Forest City,5,5,0,0,0,0,16,0,0
Laudio,5,4,4,3.076.923.076.923.070,0.8,551.8,137,17,0
Mejorada del Campo,5,5,2,0.4,0.4,153.2,65,8,0
Petrer,5,4,4,0.8,0.8,78.6,44,10,0
Rota,5,5,12,1,2.4,548.2,324,76,0
Santo Domingo,5,4,4,5.714.285.714.285.710,0.8,105.2,34,0,0
Tomares,5,5,5,8.333.333.333.333.330,1,34.8,60,7,0
Tomelloso,5,5,3,0.5,0.6,34.8,37,2,0
Tortosa,5,5,4,6.666.666.666.666.660,0.8,30.2,50,6,0
Xabia,5,3,6,0.75,1.2,120.4,124,22,0
Aguilas,4,4,3,0.75,0.75,292.5,112,6,0
Alcazar de San Juan,4,4,2,0.5,0.5,45.75,32,6,0
Baza,4,4,3,0.75,0.75,32.25,17,0,0
Boardman,4,4,0,0,0,0,13,0,0
